question;answer
https://p.scdn.co/mp3-preview/c01f8c146adeacf88f2b5b819fca58d1f99d5902?cid=d1ff3147b0b146aba2f242b9032d90b8;Envolver by Anitta
https://p.scdn.co/mp3-preview/c7d17a94330a3789118aa4d7a8823fcc1f049125?cid=d1ff3147b0b146aba2f242b9032d90b8;Bam Bam (feat. Ed Sheeran) by Camila Cabello
https://p.scdn.co/mp3-preview/d62f4961618e4b4d40d823a11c6a6c1bf3fbd649?cid=d1ff3147b0b146aba2f242b9032d90b8;THATS WHAT I WANT by Lil Nas X
https://p.scdn.co/mp3-preview/53120317c1fc5576aa178f37ddfa991f6eabf0d6?cid=d1ff3147b0b146aba2f242b9032d90b8;Boyfriend by Dove Cameron
https://p.scdn.co/mp3-preview/97563b6b9b1b1d28c2d542fe06f70f1a55c6fae1?cid=d1ff3147b0b146aba2f242b9032d90b8;Sweetest Pie by Megan Thee Stallion
https://p.scdn.co/mp3-preview/f44573d86632347135691732a238a6bcaf050d62?cid=d1ff3147b0b146aba2f242b9032d90b8;STAY (with Justin Bieber) by The Kid LAROI
https://p.scdn.co/mp3-preview/01b49a95f322c2c708b48e56a9da43777620af9b?cid=d1ff3147b0b146aba2f242b9032d90b8;Woman by Doja Cat
https://p.scdn.co/mp3-preview/822c97661e9d8a4cdbc9bebf8b414b95d982ee81?cid=d1ff3147b0b146aba2f242b9032d90b8;Where Are You Now by Lost Frequencies
https://p.scdn.co/mp3-preview/83c53804d9a84bee1cca941679370f0541dd4ca2?cid=d1ff3147b0b146aba2f242b9032d90b8;abcdefu by GAYLE
https://p.scdn.co/mp3-preview/7bd664a613dc7583bb5bb5276640da6505b0a48e?cid=d1ff3147b0b146aba2f242b9032d90b8;INDUSTRY BABY (feat. Jack Harlow) by Lil Nas X
https://p.scdn.co/mp3-preview/01c7e5d3addb5c2f8535145f0136087836882525?cid=d1ff3147b0b146aba2f242b9032d90b8;MIDDLE OF THE NIGHT by Elley Duhé
https://p.scdn.co/mp3-preview/a2748f563c888258e379756cdc94922b9c7c9cde?cid=d1ff3147b0b146aba2f242b9032d90b8;MAMIII by Becky G
https://p.scdn.co/mp3-preview/bf5bc1080a2416f74152f30febd4495e310c8140?cid=d1ff3147b0b146aba2f242b9032d90b8;The Motto by Tiësto
https://p.scdn.co/mp3-preview/6644729b8705b1538514923a08eb70377d4bb12d?cid=d1ff3147b0b146aba2f242b9032d90b8;Light Switch by Charlie Puth
https://p.scdn.co/mp3-preview/3b832402a7ef08d768b9a97e7d0738c0cd9a6dbb?cid=d1ff3147b0b146aba2f242b9032d90b8;Infinity by Jaymes Young
https://p.scdn.co/mp3-preview/d6fe71a9cd0f87405e126820dc4ecb6db4c0005a?cid=d1ff3147b0b146aba2f242b9032d90b8;she's all i wanna be by Tate McRae
https://p.scdn.co/mp3-preview/793f76ef025906b417e69065c587f04725d2e6cd?cid=d1ff3147b0b146aba2f242b9032d90b8;love nwantiti (ah ah ah) by CKay
https://p.scdn.co/mp3-preview/b260f6e456d7fe4a3820da435eb33c981ea39079?cid=d1ff3147b0b146aba2f242b9032d90b8;Desesperados by Rauw Alejandro
https://p.scdn.co/mp3-preview/3ca514309c910bb73a9e3ef8092306900af06fa6?cid=d1ff3147b0b146aba2f242b9032d90b8;Easy On Me by Adele
https://p.scdn.co/mp3-preview/875a228ea57ea936f48100f4110b9fca60b910ed?cid=d1ff3147b0b146aba2f242b9032d90b8;My Universe by Coldplay
https://p.scdn.co/mp3-preview/6bcfb68ac0bc2d60ff981ec6e19c9c4ff9e66612?cid=d1ff3147b0b146aba2f242b9032d90b8;TO THE MOON by Jnr Choi
https://p.scdn.co/mp3-preview/c707247354131537f5d7b0935f38db827711e76c?cid=d1ff3147b0b146aba2f242b9032d90b8;Need to Know by Doja Cat
https://p.scdn.co/mp3-preview/93d632364d661cdab74230dbaa1ccb101496a73d?cid=d1ff3147b0b146aba2f242b9032d90b8;CANDY by ROSALÍA
https://p.scdn.co/mp3-preview/3617f4c3c3fdc723c2060891dc6fff00c9d4d3bb?cid=d1ff3147b0b146aba2f242b9032d90b8;Oh My God by Adele
https://p.scdn.co/mp3-preview/634630c2e0c6716f3678f9d304a90a93b07ea422?cid=d1ff3147b0b146aba2f242b9032d90b8;Nail Tech by Jack Harlow
https://p.scdn.co/mp3-preview/e46f728ef2b8b46194fde96da9bb64b6fa0619db?cid=d1ff3147b0b146aba2f242b9032d90b8;Pepas by Farruko
https://p.scdn.co/mp3-preview/0186ffb3de460baf773519e19fad65000ca3cd6b?cid=d1ff3147b0b146aba2f242b9032d90b8;Freaky Deaky by Tyga
https://p.scdn.co/mp3-preview/562ca5d0ce032a607badcf1d25030f9feed3e701?cid=d1ff3147b0b146aba2f242b9032d90b8;I'm Tired - From \Euphoria\ An HBO Original Series by Labrinth
https://p.scdn.co/mp3-preview/ca26bbd666ae7f0749d05468f765f83489fe7831?cid=d1ff3147b0b146aba2f242b9032d90b8;Go by Cat Burns
https://p.scdn.co/mp3-preview/31f19878b8810e3a7cc768afde0c2a31090bf430?cid=d1ff3147b0b146aba2f242b9032d90b8;Super Gremlin by Kodak Black